rank,state
1,"Colorado"
2,Utah
3,Washington
4,California
5,Oregon
6,Idaho
7,Massachusetts
8,Nevada
9,Florida
10,Arizona
11,Georgia
12,Tennessee
13,New Hampshire
14,North Carolina
15,Texas
16,South Carolina
17,Delaware
18,Minnesota
19,Michigan
20,Rhode Island
21,Nebraska
22,Montana
23,Missouri
24,Wisconsin
25,Virginia
26,Maryland
27,South Dakota
28,Indiana
29,Vermont
30,Connecticut
31,New Jersey
32,Iowa
33,New York
34,Oklahoma
35,North Dakota
36,Kansas
37,Maine
38,Ohio
39,Kentucky
40,Hawaii
41,Illinois
42,Wyoming
43,Arkansas
44,Pennsylvania
45,Alabama
46,Alaska
47,New Mexico
48,Mississippi
49,Louisiana
50,West Virginia